"funcion","destino","tiempo_h","dist_km"
"t","EsCodolar",0.21,1.09
"t","PlatjaBossa",0.69,3.48
"t","Ebusus",1.5,7.58
"p","EsCodolar",0.3,1.09
"p","PlatjaBossa",0.99,3.52
"p","Ebusus",2.06,7.65
"hrz","EsCodolar",1947.38,1.09
"hrz","PlatjaBossa",6389.72,3.53
"hrz","Ebusus",13283.27,7.65
"ug","EsCodolar",0.19,1.09
"ug","PlatjaBossa",0.62,3.49
"ug","Ebusus",1.32,7.61
"ls","EsCodolar",3005.8,1.09
"ls","PlatjaBossa",9785.46,3.5
"ls","Ebusus",20768.62,7.62
"wcs","EsCodolar",1093.83,1.09
"wcs","PlatjaBossa",3579.2,3.52
"wcs","Ebusus",7648.22,7.6
